GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
04/12/2022,22200349,Final,1610612764,1610612747,2022,1610612764,119,0.467,0.733,0.256,24,44,1610612747,130,0.542,0.727,0.385,34,51,0
04/12/2022,22200350,Final,1610612758,1610612741,2022,1610612758,110,0.465,0.895,0.302,30,46,1610612741,101,0.442,0.842,0.36,17,39,1
04/12/2022,22200351,Final,1610612757,1610612754,2022,1610612757,116,0.488,0.682,0.425,32,45,1610612754,100,0.44,0.833,0.303,22,44,1
03/12/2022,22200337,Final,1610612752,1610612742,2022,1610612752,100,0.455,0.714,0.323,18,45,1610612742,121,0.43,0.786,0.393,27,50,0
03/12/2022,22200338,Final,1610612746,1610612758,2022,1610612746,96,0.355,0.808,0.273,15,50,1610612758,123,0.517,0.667,0.344,31,46,0
03/12/2022,22200339,Final,1610612766,1610612749,2022,1610612766,96,0.391,0.885,0.208,15,44,1610612749,105,0.47,0.789,0.375,24,47,0
03/12/2022,22200340,Final,1610612761,1610612753,2022,1610612761,121,0.56,0.72,0.31,31,43,1610612753,108,0.487,0.808,0.393,23,29,1
03/12/2022,22200341,Final,1610612750,1610612760,2022,1610612750,128,0.528,0.8,0.333,25,44,1610612760,135,0.516,0.8,0.423,26,42,0
03/12/2022,22200342,Final,1610612744,1610612745,2022,1610612744,120,0.529,0.5,0.481,34,35,1610612745,101,0.44,0.9,0.107,17,45,1
03/12/2022,22200343,Final,1610612762,1610612757,2022,1610612762,111,0.452,0.786,0.361,20,44,1610612757,116,0.482,0.774,0.4,19,49,0
02/12/2022,22200326,Final,1610612766,1610612764,2022,1610612766,117,0.421,0.806,0.414,25,45,1610612764,116,0.453,0.743,0.364,23,56,1
02/12/2022,22200327,Final,1610612737,1610612743,2022,1610612737,117,0.557,0.643,0.357,24,43,1610612743,109,0.529,0.538,0.375,31,33,1
02/12/2022,22200328,Final,1610612738,1610612748,2022,1610612738,116,0.46,0.75,0.333,26,48,1610612748,120,0.475,0.722,0.314,19,50,0
02/12/2022,22200329,Final,1610612751,1610612761,2022,1610612751,114,0.537,0.682,0.344,27,41,1610612761,105,0.437,0.733,0.292,16,43,1
02/12/2022,22200330,Final,1610612739,1610612753,2022,1610612739,107,0.488,1,0.381,22,33,1610612753,96,0.494,0.667,0.348,19,40,1
02/12/2022,22200331,Final,1610612749,1610612747,2022,1610612749,129,0.532,0.8,0.395,29,42,1610612747,133,0.542,0.75,0.423,32,44,0
02/12/2022,22200332,Final,1610612763,1610612755,2022,1610612763,117,0.433,0.786,0.367,22,57,1610612755,109,0.44,0.882,0.424,23,42,1
02/12/2022,22200333,Final,1610612759,1610612740,2022,1610612759,99,0.388,0.75,0.282,26,49,1610612740,117,0.435,0.962,0.286,25,53,0
02/12/2022,22200334,Final,1610612756,1610612745,2022,1610612756,121,0.529,0.737,0.459,30,37,1610612745,122,0.494,0.791,0.333,19,41,0
02/12/2022,22200335,Final,1610612762,1610612754,2022,1610612762,139,0.554,0.865,0.441,29,47,1610612754,119,0.435,0.818,0.353,25,35,1
02/12/2022,22200336,Final,1610612744,1610612741,2022,1610612744,119,0.483,0.652,0.4,32,50,1610612741,111,0.462,0.667,0.333,28,44,1
01/12/2022,22200325,Final,1610612765,1610612742,2022,1610612765,131,0.543,0.583,0.429,29,52,1610612742,125,0.535,0.483,0.413,25,30,1
30/11/2022,22200312,Final,1610612739,1610612755,2022,1610612739,113,0.608,0.8,0.517,28,40,1610612755,85,0.416,0.833,0.231,19,30,1
30/11/2022,22200313,Final,1610612753,1610612737,2022,1610612753,108,0.494,0.88,0.296,26,33,1610612737,125,0.543,0.789,0.25,25,49,0
30/11/2022,22200314,Final,1610612738,1610612748,2022,1610612738,134,0.554,0.87,0.489,32,41,1610612748,121,0.522,1,0.45,25,32,1
30/11/2022,22200315,Final,1610612751,1610612764,2022,1610612751,113,0.464,0.923,0.423,22,35,1610612764,107,0.438,0.676,0.25,19,51,1
30/11/2022,22200316,Final,1610612752,1610612749,2022,1610612752,103,0.42,0.65,0.2,18,55,1610612749,109,0.433,0.808,0.286,23,52,0
30/11/2022,22200317,Final,1610612750,1610612763,2022,1610612750,109,0.461,0.789,0.308,26,29,1610612763,101,0.425,0.6,0.346,17,59,1
30/11/2022,22200318,Final,1610612740,1610612761,2022,1610612740,126,0.523,0.846,0.424,28,52,1610612761,108,0.477,0.684,0.289,29,30,1
30/11/2022,22200319,Final,1610612760,1610612759,2022,1610612760,119,0.511,0.667,0.333,17,52,1610612759,111,0.446,0.76,0.27,27,44,1
30/11/2022,22200320,Final,1610612743,1610612745,2022,1610612743,120,0.53,0.75,0.531,30,42,1610612745,100,0.42,0.778,0.293,18,39,1
30/11/2022,22200321,Final,1610612756,1610612741,2022,1610612756,132,0.527,0.905,0.455,22,46,1610612741,113,0.5,0.818,0.16,21,35,1
30/11/2022,22200322,Final,1610612762,1610612746,2022,1610612762,125,0.556,0.75,0.438,24,46,1610612746,112,0.398,0.778,0.333,16,39,1
30/11/2022,22200323,Final,1610612758,1610612754,2022,1610612758,137,0.505,0.862,0.372,28,58,1610612754,114,0.4,0.733,0.324,28,47,1
30/11/2022,22200324,Final,1610612747,1610612757,2022,1610612747,128,0.495,0.692,0.378,28,48,1610612757,109,0.467,0.81,0.333,21,45,1
29/11/2022,22200309,Final,1610612765,1610612752,2022,1610612765,110,0.506,0.65,0.333,28,30,1610612752,140,0.563,0.762,0.457,31,51,0
29/11/2022,22200310,Final,1610612742,1610612744,2022,1610612742,116,0.462,0.63,0.341,21,39,1610612744,113,0.477,0.783,0.256,27,50,1
29/11/2022,22200311,Final,1610612757,1610612746,2022,1610612757,112,0.467,0.733,0.486,24,43,1610612746,118,0.461,0.821,0.419,26,48,0
28/11/2022,22200299,Final,1610612755,1610612737,2022,1610612755,104,0.453,0.889,0.357,23,37,1610612737,101,0.5,0.682,0.444,26,42,1
28/11/2022,22200300,Final,1610612764,1610612750,2022,1610612764,142,0.571,0.852,0.484,31,34,1610612750,127,0.5,0.857,0.259,20,45,1
28/11/2022,22200301,Final,1610612738,1610612766,2022,1610612738,140,0.591,0.857,0.462,40,39,1610612766,105,0.488,0.667,0.379,28,37,1
28/11/2022,22200302,Final,1610612751,1610612753,2022,1610612751,109,0.543,0.857,0.321,20,42,1610612753,102,0.475,0.591,0.419,18,35,1
28/11/2022,22200303,Final,1610612761,1610612739,2022,1610612761,100,0.44,0.824,0.429,23,45,1610612739,88,0.378,0.813,0.184,21,47,1
28/11/2022,22200304,Final,1610612740,1610612760,2022,1610612740,105,0.448,0.9,0.281,21,49,1610612760,101,0.37,0.913,0.316,16,47,1
28/11/2022,22200305,Final,1610612743,1610612745,2022,1610612743,129,0.568,0.85,0.4,31,43,1610612745,113,0.459,0.76,0.364,25,37,1
28/11/2022,22200306,Final,1610612762,1610612741,2022,1610612762,107,0.482,0.4,0.388,30,45,1610612741,114,0.462,0.88,0.273,21,50,0
28/11/2022,22200307,Final,1610612758,1610612756,2022,1610612758,117,0.523,0.889,0.36,32,37,1610612756,122,0.532,0.857,0.313,26,45,0
